id,description,description_cleaned,source,category,confidence,score_demolition,score_earthwork,score_concrete,score_masonry,score_steel,score_carpentry_joinery,score_doors_windows_glazing,score_waterproofing,score_flooring_tiling,score_plaster_painting,score_plumbing_sanitary,score_electrical,score_hvac_fire,score_facade_cladding,score_roofing,score_paving_external,score_utilities_storm_sanitary,score_misc_general_conditions
MCGM_Civil_BOQ_p1_l3,1) Item includes Excavation with,1 item includes excavation with,MCGM_Civil_BOQ,earthwork,0.9090909090909092,0.0,0.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCGM_Civil_BOQ_p1_l14,"rock, debris etc. required for refilling or",rock debris etc. required for refilling or,MCGM_Civil_BOQ,earthwork,0.9090909090909092,0.0,0.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCGM_Civil_BOQ_p1_l20,"Contractor should provide the same at his 1 R2-CS-EW-1 Excavation for foundations, substructures,",contractor should provide the same at his 1 r2 cs ew 1 excavation for foundations substructures,MCGM_Civil_BOQ,earthwork,0.9090909090909092,0.0,0.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCGM_Civil_BOQ_p1_l21,"basements, tanks, sumps, walls, chambers,",basements tanks sumps walls chambers,MCGM_Civil_BOQ,utilities_storm_sanitary,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MCGM_Civil_BOQ_p1_l22,"manholes, trenches, poles, pits & general",manholes trenches poles pits general,MCGM_Civil_BOQ,utilities_storm_sanitary,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MCGM_Civil_BOQ_p1_l24,"vegetable earth, soft murum, running sand,",vegetable earth soft murum running sand,MCGM_Civil_BOQ,earthwork,0.9090909090909092,0.0,0.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCGM_Civil_BOQ_p1_l32,"vegetation, backfilling in layers not more",vegetation backfilling in layers not more,MCGM_Civil_BOQ,earthwork,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCGM_Civil_BOQ_p1_l43,"3R2-CS-EW-3 Excavation for foundation, substructures,",3r2 cs ew 3 excavation for foundation substructures,MCGM_Civil_BOQ,earthwork,0.9090909090909092,0.0,0.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCGM_Civil_BOQ_p1_l47,"sand stone, stiff clay, gravel, cobblestone,",sand stone stiff clay gravel cobblestone,MCGM_Civil_BOQ,paving_external,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MCGM_Civil_BOQ_p1_l51,"hardcore, lime concrete, plain cement",hardcore lime concrete plain cement,MCGM_Civil_BOQ,concrete,0.7692307692307693,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
