id,description,source,page,extraction_method
MCGM_Civil_BOQ_p1_l1,A EARTHWORK,MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l3,1) Item includes Excavation with,MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l5,dewatering by pumps. No separate payment,MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l14,"rock, debris etc. required for refilling or",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l20,"Contractor should provide the same at his 1 R2-CS-EW-1 Excavation for foundations, substructures,",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l21,"basements, tanks, sumps, walls, chambers,",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l22,"manholes, trenches, poles, pits & general",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l24,"vegetable earth, soft murum, running sand,",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l32,"vegetation, backfilling in layers not more",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l43,"3R2-CS-EW-3 Excavation for foundation, substructures,",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l44,"basements, tanks, sumps, walls, chambers,",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l45,"manholes, trenches, poles, pits & general",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l47,"sand stone, stiff clay, gravel, cobblestone,",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l51,"hardcore, lime concrete, plain cement",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l52,"concrete, stone masonry and all types of",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l53,"brick/ block masonry below ground level,",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l58,"removing rank vegetation, backfilling in",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l60,4R2-CS-EW-4 Excavation by chiseling by manual,MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l63,"etc. for foundations,",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l64,"substructures,basements, tanks, sumps,",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l65,"walls, chambers, manholes, poles, pits &",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l67,"reinforced concrete, Bituminous macadam",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p1_l71,"vegetation, backfilling in layers not more",MCGM_Civil_BOQ,1,text
MCGM_Civil_BOQ_p2_l0,5R2-CS-EW-5 Excavation by using splitters for,MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l1,"foundations, substructures, basements,",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l2,"tanks, sumps, walls, chambers, manholes,",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l4,"works in hard rock, reinforced concrete, for",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l9,"vegetation, backfilling in layers not more",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l30,"10R2-CS-EW-11 Filling in plinth, floors, trenches, pits with",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l38,"11 R2-CS-EW-12 Filling in plinth, floors, trenches, pits with",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l54,small chips including filling in with,MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l57,"watering, sand spreading 12mm thk. layer Cum 600 2,231 1338600.00",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l63,"walling, struts, open poling boards, Sqm 100 1,372 137200.00",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l64,TOTAL FOR EARTHWORK 11628350,MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l71,"foundation pits, wall trenches, basement",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l72,"excavation, backfill in immediate contact",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l73,with foundation and treating the top surface,MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l74,"of plinth filling, junction of wall & floor,",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l76,"expansion joints, surrounding of pipes,",MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l77,water conduits and at places suggested and,MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p2_l81,inspection chamber to control the nuisance,MCGM_Civil_BOQ,2,text
MCGM_Civil_BOQ_p3_l0,C R2-CS-CW CONCRETE WORKS,MCGM_Civil_BOQ,3,text
